Date|Book|Security|Delta|TdyPnL|BODPnL|TdingPnL|DivPnL|LastPx|PrevCLS|Position|BODPos|Bought|BuyPx|Sold|SellPx|Multiplier|SecType|Curncy|YTDPnL|MTDPnL|WTDPnL
20190417|MSEUR|AFX GY|118380.444|337.527749999996|16.946999999999|320.580749999997|0|80.6|80.55|1300|300|1000|80.31625|0|0|1|EQUITY|EUR|4562.39050999997|4562.39050999997|4562.39050999997
20190417|MSEUR|ALC SW|0|0|0|0|0|57.85|56.3|0|0|0|0|0|0|1|EQUITY|CHF|22308.0728505001|22308.0728505001|22308.0728505001
20190417|MSEUR|AZN LN|0|0|-0|0|0|5914|6015|0|0|0|0|0|0|1|EQUITY|GBp|-919.232414999996|-919.232414999996|-919.232414999996
20190417|MSEUR|BAER SW|0|0|0|0|0|47.04|46.2|0|0|0|0|0|0|1|EQUITY|CHF|-1455.81229999999|-1455.81229999999|-1455.81229999999
20190417|MSEUR|BNP FP|0|0|0|0|0|48.44|47.66|0|0|0|0|0|0|1|EQUITY|EUR|172.0306|172.0306|172.0306
20190417|MSEUR|CLNX SQ|577790.475696|-440.893151999991|-440.893151999991|0|0|26.21|26.23|19512|19512|0|0|0|0|1|EQUITY|EUR|600.419854121245|600.419854121245|600.419854121245
20190417|MSEUR|DRLCO DC|0|0|0|0|0|512|506|0|0|0|0|0|0|1|EQUITY|DKK|-34047.4499999997|-34047.4499999997|-34047.4499999997
20190417|MSEUR|ETL FP|18291.462|310.695000000002|310.695000000002|0|0|16.19|15.915|1000|1000|0|0|0|0|1|EQUITY|EUR|1820.90109500002|1820.90109500002|1820.90109500002
20190417|MSEUR|EVR LN|130856.4|1799.52000000001|1799.52000000001|0|0|669|659.8|15000|15000|0|0|0|0|1|EQUITY|GBp|21362.2797924234|21362.2797924234|21362.2797924234
20190417|MSEUR|FBK IM|615673.212|0|0|0|0|12.385|12.385|44000|44000|0|0|0|0|1|EQUITY|EUR|33109.7283669999|33109.7283669999|33109.7283669999
20190417|MSEUR|GFS LN|6266.362872|10.6980160000002|10.6980160000002|0|0|234.3|233.9|2051|2051|0|0|0|0|1|EQUITY|GBp|5088.18104600997|5088.18104600997|5088.18104600997
20190417|MSEUR|GSRPEMEL|-396738.96|-136.939999999931|-0|-136.939999999931|0|1209.57|1212.07|-328|0|0|0|328|1209.1525|1|EQUITY||-1369.39999999931|-1369.39999999931|-1369.39999999931
20190417|MSEUR|GSRPEMES|400338.48|304.559999999979|0|304.559999999979|0|1064.73|1058.03|376|0|376|1063.92|0|0|1|EQUITY||3045.59999999979|3045.59999999979|3045.59999999979
20190417|MSEUR|HLMA LN|83631.15328|-4264.6016|-4264.6016|4.03781175162266E-12|0|1739|1756.5|3688|18688|0|0|15000|17.39|1|EQUITY|GBp|-30650.2481592092|-30650.2481592092|-30650.2481592092
20190417|MSEUR|HMSO LN|0|0|-0|0|0|329.5|336.1|0|0|0|0|0|0|1|EQUITY|GBp|2180.50250218203|2180.50250218203|2180.50250218203
20190417|MSEUR|JD/.LN|77196.8|629.253024000003|0|629.253024000003|0|592|576.6|10000|0|10000|5.8717444|0|0|1|EQUITY|GBp|6292.53024000003|6292.53024000003|6292.53024000003
20190417|MSEUR|KBX GY|111115.83|1299.26999999999|1299.26999999999|0|0|98.35|97.2|1000|1000|0|0|0|0|1|EQUITY|EUR|40246.2443622248|40246.2443622248|40246.2443622248
20190417|MSEUR|NOVN SW|0|0|-0|0|0|78.74|80.86|0|0|0|0|0|0|1|EQUITY|CHF|-1223.583144|-1223.583144|-1223.583144
20190417|MSEUR|OCDO LN|84050.624|-420.25312|-420.25312|0|0|1400|1407|4604|4604|0|0|0|0|1|EQUITY|GBp|-19968.1688054406|-19968.1688054406|-19968.1688054406
20190417|MSEUR|ORP FP|408083.76|-25524.3828504|-25476.99|-47.3928504000056|0|103.2|107.3|3500|5500|1000|103.241948|3000|103.2|1|EQUITY|EUR|-256076.798937878|-256076.798937878|-256076.798937878
20190417|MSEUR|OSR GY|0|0|0|0|0|32.91|32.79|0|0|0|0|0|0|1|EQUITY|EUR|1655.58246255988|1655.58246255988|1655.58246255988
20190417|MSEUR|PSM GY|-17766.093702|-3716.13126822001|-3286.26055800002|-429.870710219984|-0|14.71|14.52|-1069|-15309|14240|14.736719375|0|0|1|EQUITY|EUR|-88821.636255391|-88821.636255391|-88821.636255391
20190417|MSEUR|RMG LN|-31916.80832|330.427079999999|330.427079999999|0|-0|260.8|263.5|-9385|-9385|0|0|0|0|1|EQUITY|GBp|5956.83978569996|5956.83978569996|5956.83978569996
20190417|MSEUR|RTO LN|477904.789512|129.83015200003|129.83015200003|0|0|368.1|368|99563|99563|0|0|0|0|1|EQUITY|GBp|33799.8414931732|33799.8414931732|33799.8414931732
20190417|MSEUR|RXL FP|-39532.995621|-4185.91918175767|-3389.40000000005|-796.519181757624|-0|11.335|11.26|-3087|-40000|36913|11.3540992065668|0|0|1|EQUITY|EUR|-58362.2695351267|-58362.2695351267|-58362.2695351267
20190417|MSEUR|VOD LN|187.41088|1.46048000000001|1.46048000000001|0|0|143.72|142.6|100|100|0|0|0|0|1|EQUITY|GBp|15.5750780000001|15.5750780000001|15.5750780000001
20190417|MSEUR|CAM9|-170317.35|-2203.11|-2203.11|0|0|100.5|99.2|-30|-30|0|0|0|0|50|INDEX|EUR|-31511.865|-31511.865|-31511.865
20190417|MSEUR|ESM9|0|0|-0|0|0|2904.25|2911.5|0|0|0|0|0|0|50|INDEX|USD|-12.5|-12.5|-12.5
20190417|MSEUR|FESBM9|0|0|0|0|0|0|0|0|0|0|0|0|0|10|INDEX||0|0|0
20190417|MSEUR|VGM9|-115578.54|-542.304|-542.304|0|0|3410|3394|-3|-3|0|0|0|0|10|INDEX|EUR|-20594.063|-20594.063|-20594.063
20190417|MSEUR|WQM9|-344306.55|847.349999999992|847.349999999992|0|0|243.8|244.4|-25|-25|0|0|0|0|50|INDEX|EUR|7796.14499999994|7796.14499999994|7796.14499999994
20190417|MSEUR|Z M9|-1063392.44|143.44|143.44|0|0|7413.5|7414.5|-11|-11|0|0|0|0|10|INDEX|GBP|-15597.7540000001|-15597.7540000001|-15597.7540000001
20190417|MSSAR|EEM US|0|0|0|0|0|44.65|44.46|0|0|0|0|0|0|1|EQUITY|USD|-10699.0499999998|-10699.0499999998|-10699.0499999998
20190417|MSSAR|MSAU LN|10112550|34649.9999999998|34649.9999999998|0|0|24.0775|23.995|420000|420000|0|0|0|0|1|EQUITY|USD|549558.727537049|549558.727537049|549558.727537049
20190417|MSSAR|MSAU US|0|0|0|0|0|0|0|0|0|0|0|0|0|1|EQUITY|USD|0|0|0
20190417|MSSAR|VWO US|-440000|-1499.99999999999|-1499.99999999999|0|-0|44|43.85|-10000|-10000|0|0|0|0|1|EQUITY|USD|-18408.4999999999|-18408.4999999999|-18408.4999999999
20190417|MSSAR|ESM9|-1742550|4350|4350|0|0|2904.25|2911.5|-12|-12|0|0|0|0|50|INDEX|USD|30762.5|30762.5|30762.5
20190417|MSSAR|MESM9|-1925525|-9799.99999999984|-9799.99999999984|0|0|1100.3|1094.7|-35|-35|0|0|0|0|50|INDEX|USD|-113729.999999999|-113729.999999999|-113729.999999999
20190417|FTRUS|ACER US|45541.92|-3014.64|-3014.64|0|0|24.02|25.61|1896|1896|0|0|0|0|1|EQUITY|USD|-26155.12|-26155.12|-26155.12
20190417|FTRUS|ACRX US|46099.2|-137.200000000003|-137.200000000003|0|0|3.36|3.37|13720|13720|0|0|0|0|1|EQUITY|USD|-4486.96100000003|-4486.96100000003|-4486.96100000003
